State,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
Kentucky,69700,69900,70100,70300,70500,70800,71100,71500,71900,72200,72500,72800,73100,73300,73600,73900,74200,74500,74900,75300,75800,76400,76900,77400,77900,78400,78800,79200,79600,80000,80400,80600,80900,81100,81300,81500,81700,82000,82200,82500,82800,83200,83600,84000,84400,84700,85100,85400,85700,86000,86400,86700,87100,87500,87900,88400,88800,89300,89900,90400,90900,91400,91900,92300,92600,92900,93100,93400,93800,94300,94900,95400,96000,96400,96800,97100,97400,97700,98000,98400,98900,99500,100100,100600,101100,101500,101900,102200,102500,102800,103100,103500,103800,104200,104600,105000,105500,105900,106300,106700,107100,107500,108000,108500,108900,109100,109100,108900,108700,108700,108800,109000,109200,109500,109900,110200,110600,111000,111500,112000,112400,112900,113600,114400,115400,116200,116600,116600,116200,115800,115600,115500,115500,115400,115400,115400,115300,115300,115300,115500,115400,115400,115400,115500,115300,115100,115000,114700,114400,114100,113900,113900,113700,113700,113800,113900,113800,113800,113600,113400,113000,112900,112800,112700,113300,113800,113500,113600,114600,115100,115100,115200,115200,115100,114900,114700,114500,114300,114200,113700,112900,112200,111800,111500,111400,111200,111000,110700,110400,110300,110300,110100,110000,110200,110300,110200,110300,110400,110500,110800,111000,111000,111200,111300,111300,111400,111700,112100,112300,112400,112500,112900,113000,113100,113200,113500,113700,113800,114100,114200,114200,114400,114500,114600,114900,115200,115600,116300,116700,117100,117500,117800,118100,118500,119100,119600,120000,120500,121100,121500,122000,122700,123300,123900,124500,125200,125800,126400,127100,127800,128600,129500,130200,130900,131800,132600,133200,133700,134100,134700,135300,136000,136700,137400,138200,138900,139500,140200,141200,142400,143400
Oregon,123600,124200,124900,125700,126400,126900,127500,128100,128700,129400,130200,130900,131400,131900,132200,132400,132600,132600,132700,132700,132800,132800,132800,132600,132400,132300,132400,132600,133100,133600,134300,135000,135800,136400,137000,137500,137900,138300,138700,139100,139600,140100,140600,141000,141500,142100,142700,143200,143700,144200,144500,144900,145300,145800,146300,147000,147700,148600,149400,150100,150800,151300,151700,152100,152400,152800,153200,153700,154200,155000,155800,156600,157300,157900,158300,158800,159200,159800,160500,161200,162000,162800,163600,164400,165200,166000,166900,167800,168800,169800,170800,171700,172500,173400,174400,175600,177100,178700,180600,182800,185000,187400,189600,191800,194000,196400,199000,201900,205100,208500,212100,216200,220600,225500,230900,236600,242100,246500,249600,252100,255200,258800,262500,265500,267200,267700,267500,267000,266700,266800,267000,267500,268100,268300,268100,267700,267200,266600,265600,264300,263100,261900,260500,259300,258300,256600,254400,252000,249500,247100,244900,242800,241000,239500,237700,235800,233800,231400,228800,227000,225800,224900,224300,224100,223300,222900,224000,223700,220900,218800,217600,215600,213400,211300,209500,207800,206100,203900,201700,199700,198100,196800,195900,195400,194900,194400,193900,193200,193000,192900,192600,192500,193100,194100,194800,195500,196600,198000,199200,200300,201200,202300,203800,205800,208300,210700,212800,214700,216600,218400,220100,221700,223200,224600,226000,227600,229400,230600,231600,233000,234300,235700,237200,238800,240200,241700,243500,245500,247600,249900,252100,254500,257200,259700,261900,264400,267400,270000,272200,275000,278500,281700,284800,287600,289900,292500,295500,298600,301900,305000,307400,309900,312700,315100,316900,318400,320200,321700,322700,324100,325900,328300,331100,333400,334900,336400,337900,339500,340700,341500,342400
Oklahoma,58800,60000,60900,61600,61900,62000,61800,61400,61100,60800,60400,59700,59000,58200,57600,57100,56800,56800,57000,57200,57800,58400,58900,59300,59700,60200,60600,61200,61700,62200,62500,62700,62900,63100,63100,62900,62800,62900,63100,63400,63700,64100,64500,64800,65400,66100,66700,67200,67600,68000,68400,68600,68800,69000,69200,69500,69800,70200,70600,70700,70800,70800,70800,70900,71000,71300,71500,71800,72000,72200,72500,72900,73200,73500,73900,74300,74600,75000,75400,75800,76200,76400,76400,76500,76700,76900,77200,77600,78000,78300,78600,78900,79100,79400,79700,80000,80300,80600,81000,81300,81700,82100,82500,82900,83100,83200,83100,83000,83100,83400,83800,84200,84700,85100,85400,85700,86100,86600,87100,87600,88000,88300,88600,89000,89300,89700,90000,90400,90700,91000,91100,91300,91500,91700,92000,92400,92700,93000,93300,93500,93900,94300,94800,95300,95600,95600,95600,95500,95300,95100,95000,95000,95100,95300,95700,96100,96400,96500,96500,96500,96600,96600,96700,96800,96900,97000,97300,97400,97400,97500,97600,97400,97000,96700,96300,96100,95900,95600,95300,95000,94800,94500,94300,94200,94300,94100,94100,94000,93800,93700,93600,93300,93200,93400,93500,93400,93400,93600,93700,93700,93800,93800,93700,93700,93700,93800,94100,94300,94400,94600,94700,94700,94800,95000,95100,95200,95400,95600,95700,95800,95900,95900,96100,96500,96700,96700,97000,97500,97900,98100,98400,98900,99300,99800,100100,100500,101100,101800,102700,103600,104400,105200,106100,106900,107700,108400,109200,110000,110800,111500,112200,112700,113500,114200,114600,114800,115300,115900,116400,116500,116800,117600,118600,119400,119900,120200,120300,120500,120800,121500,122300
Connecticut,140600,140200,139600,139100,138600,138300,138100,138100,138200,138500,138800,139000,139200,139500,139700,140000,140300,140600,140800,141100,141500,142000,142400,142800,143200,143600,144000,144600,145200,146000,146900,147700,148700,149700,150600,151500,152500,153600,154600,155600,156600,157600,158500,159500,160600,161700,162900,163900,164800,165700,166600,167400,168300,169300,170300,171500,172800,174100,175600,177000,178500,179900,181400,182900,184500,186000,187500,189000,190600,192200,193800,195500,197300,199200,201200,203200,205400,207700,210100,212700,215400,218000,220400,222900,225400,227900,230400,233000,235400,237700,240000,242200,244500,246700,249100,251400,253800,256100,258600,261200,263800,266500,269300,272100,274900,277600,280100,282500,285000,287400,289900,292400,294700,296800,298500,299800,300700,301300,301700,302200,302700,302900,303000,302800,302500,302000,301300,300700,300300,300100,300000,299800,299500,298800,297700,296400,295100,293900,292600,291200,289600,287900,286000,284400,283000,281600,280000,278000,275800,273600,271600,269800,268200,266700,265100,263300,261200,258800,256400,254800,254000,253600,253600,253800,254100,254700,255300,254800,253600,252900,252900,252200,250700,249400,248100,245900,243400,241700,240600,239600,238700,237800,237000,236300,235900,235000,234000,233100,231900,229900,228400,227700,227400,227000,226900,227000,226600,225900,225500,225400,225500,225700,225900,226300,227200,228300,229000,229800,230500,231000,231500,232200,232800,232900,232900,233000,233000,232900,233000,233200,233100,233000,233000,233300,233800,234200,234000,233500,233400,233500,233300,232900,232700,232500,232300,232200,232400,232900,233600,234200,234600,234800,235300,235700,236200,237000,237900,238600,239200,239600,240000,240900,241800,242200,241900,242200,243600,245400,246600,247700,249000,250300,251100,251500,251700,252200,253000,253700,254500,255100,255400
Iowa,61200,61300,61400,61600,61900,62400,62900,63400,63800,64100,64300,64600,64800,65100,65300,65700,66000,66400,66900,67500,68000,68500,68900,69200,69400,69800,70500,71300,72300,73200,74000,74700,75300,75800,76100,76300,76300,76200,75900,75600,75200,74900,74800,74900,75200,75700,76400,77100,78000,78700,79400,80000,80500,81000,81400,81700,82000,82200,82500,82900,83200,83500,83800,84000,84300,84600,84900,85200,85600,85900,86400,86900,87500,88100,88600,88900,89200,89400,89500,89700,89900,90100,90200,90400,90700,91100,91500,92000,92500,92900,93200,93500,93700,94000,94400,94700,95100,95400,95700,96100,96600,97200,98000,99000,100000,101000,101700,102000,102100,102200,102600,103000,103400,103700,103900,104100,104200,104300,104400,104600,104900,105200,105700,106400,107000,107500,108000,108300,108600,108800,109100,109500,109800,110000,110200,110300,110400,110700,110900,111100,111400,111600,111900,112200,112500,112500,112300,112100,111800,111600,111500,111400,111300,111400,111500,111800,112000,112100,112000,111900,111800,111800,111800,111800,111900,112000,112100,112100,112100,112500,113100,113100,113000,112900,112700,112400,112000,111500,111100,110700,110400,110300,110300,110600,110900,110900,110900,111000,111100,111300,111600,111700,111700,111800,112000,112300,112600,112800,113000,113400,113800,114300,114500,114800,115100,115400,115400,115500,115800,116100,116400,116700,116900,117100,117500,118000,118200,118400,118600,119000,119400,119800,120300,120700,121000,121300,121700,122200,122900,123600,124100,124500,124700,124800,124900,125200,125500,125900,126500,127000,127500,127900,128600,129100,129500,129700,130100,130700,131400,132100,132600,133400,134100,134600,134900,135200,135500,135700,136000,136700,137400,137900,138300,138700,139100,139600,139900,140300,141000,142100,143100
Mississippi,70900,70900,71000,71200,71400,71600,71700,71800,71700,71700,71600,71500,71500,71500,71700,71800,72000,72300,72400,72500,72800,73000,73100,73100,73000,72800,72500,72200,71900,71500,71100,70600,70200,69900,69800,69800,70100,70500,71000,71500,72000,72300,72500,72600,72700,72900,73100,73200,73200,73000,72600,71800,70700,69600,68600,67900,67500,67300,67200,67300,67300,67400,67600,67900,68200,68300,68400,68400,68500,68700,68800,68800,68900,69000,69200,69400,69500,69600,69600,69600,69700,69700,69800,70000,70100,70200,70200,70000,70000,69900,69800,69800,69800,69800,70000,70100,70200,70400,70600,71200,72200,74100,76800,79700,82400,84800,86800,88500,90100,91800,93700,95700,97300,98500,99300,99900,100400,101000,102100,103400,104900,106400,108000,109500,111000,112200,113100,113800,114200,114700,115200,115500,115400,115300,115300,115400,115700,116100,116300,116100,115500,114800,114400,114000,113300,112600,112100,111800,111700,111700,111600,111400,110900,110700,110800,110800,110500,110200,109800,109100,108500,108300,108600,109100,111200,113100,112600,112900,115400,116700,117100,117200,116500,116000,115800,115400,114500,113400,112600,112000,111200,110700,110600,110500,110300,109100,107200,105800,105000,104600,104800,104700,104200,104300,104300,103900,103400,103000,102900,103100,102800,102200,102300,102500,102100,101400,101000,100700,100400,100000,99500,99300,99000,99100,98900,97900,96800,96300,96200,96500,97100,98000,98800,99200,99600,100400,101200,101800,102400,102700,102900,103500,104600,105200,105600,106000,106500,107100,107600,108100,108700,109300,109800,110400,111200,112300,113400,114000,114600,114900,114900,114900,114900,114800,114700,115000,115500,115700,116100,116800,116900,116800,117200,117900,119200,121100,122800,123300,123100,123500,124500
Arkansas,62000,61900,61700,61500,61300,61100,61000,60900,60900,60900,61100,61300,61600,61800,62100,62300,62600,62800,63100,63400,63800,64300,64800,65200,65500,65800,66000,66300,66500,66800,67000,67200,67400,67500,67600,67700,67800,68000,68200,68400,68500,68700,68900,69100,69300,69600,70000,70400,70800,71100,71300,71500,71700,71800,71900,72100,72300,72700,73000,73400,73800,74100,74400,74500,74700,74700,74700,74700,74700,74700,74800,74900,75100,75400,75700,76100,76600,77200,77900,78500,79100,79300,79300,79400,79400,79600,79900,80200,80500,80800,81100,81500,81800,82200,82700,83200,83700,84200,84700,85100,85600,86000,86600,87100,87800,88500,89300,90100,90900,91600,92200,92800,93500,94200,94900,95600,96400,97000,97600,98000,98400,98800,99300,99900,100700,101400,102000,102200,102200,102100,101900,101800,101900,102200,102300,102500,102600,102600,102600,102500,102500,102500,102600,102600,102700,102500,102100,101800,101300,100900,100400,100100,99900,99800,99700,99600,99700,99500,99100,98800,98500,98300,98200,98100,98000,98000,98400,98300,97600,97300,97600,97600,97100,96800,96500,96100,95800,95500,95200,95000,95000,94800,94300,93700,93600,93800,93900,93900,94000,94100,93800,93400,93200,93300,93600,93900,94100,94200,94300,94500,94900,95300,95600,96100,96600,96800,97000,97400,97900,98000,98200,98400,98700,98800,98800,98900,99100,99400,99600,99900,100300,100600,100900,101200,101400,101500,101700,102000,102400,102700,103200,103600,104000,104300,104700,105300,105800,106100,106500,107200,107900,108600,109200,109900,110400,111000,111700,112300,112700,113100,113700,114200,114700,115200,115600,115900,116200,116500,116500,116500,116800,117800,119000,120200,121000,121600,121700,121900,122300,123000,123500
Kansas,64300,64500,64700,64900,65100,65300,65600,66000,66500,67200,68200,69600,71100,72700,74200,75400,76400,77100,77800,78400,79000,79800,80600,81400,82100,82900,83500,84100,84600,85000,85400,85800,86300,86700,87100,87600,87900,88200,88400,88700,88900,89200,89500,89800,90200,90500,90700,90900,91000,91100,91300,91600,91800,92000,92100,92200,92300,92600,92900,93300,93800,94400,94900,95500,96000,96500,97000,97400,97800,98200,98500,98800,98900,98900,98900,98800,98700,98800,99000,99300,99600,99900,100000,100000,100000,100100,100500,101000,101500,101900,102300,102500,102700,102900,103300,103700,104300,104900,105500,106100,107000,108100,109300,110500,111600,112500,113200,113700,113900,113900,113600,113200,112800,112400,112200,112100,112000,112000,112200,112300,112500,112800,113200,113700,114100,114500,114800,115000,115300,115600,116000,116400,117000,117600,118200,118700,119200,119500,119600,119600,119400,119200,119000,118800,118600,118400,118100,117900,117600,117300,117100,116900,116800,116700,116600,116500,116500,116300,116200,116000,115800,115700,115600,115600,115300,115100,115300,115500,115300,115200,115100,115000,114800,114400,114100,113900,113800,113300,112600,111900,111300,110600,110200,109900,109800,109800,109700,109300,108900,108900,108900,108700,108800,109100,109100,108900,108800,108800,108800,108800,108900,108900,109000,109100,109200,109300,109400,109500,109600,109800,110200,110600,111000,111300,111700,112100,112300,112300,112500,112900,113200,113200,113200,113600,114000,114400,114600,114800,115300,115600,115700,115800,116200,116500,116800,117000,117500,118000,118700,119300,119800,120300,121000,121900,122600,123200,124000,124600,125000,125500,126300,127200,128000,128800,129500,129700,129900,130500,131000,131300,131700,132100,132200,132400,132900,133700,134700,135700,136600,137200,137800
Utah,149600,149400,149000,148500,148100,147800,147600,147700,147800,148000,148200,148400,148700,149100,149500,150000,150400,150900,151300,151700,152100,152500,152700,152900,153100,153200,153400,153500,153600,153700,153700,153700,153800,153800,153800,153800,153900,153900,154100,154200,154300,154600,154900,155400,155900,156600,157400,158300,159300,160300,161300,162200,162900,163500,164000,164400,164700,164900,165100,165100,165100,165100,165200,165500,165800,166300,166800,167200,167600,167900,168100,168100,168000,168000,167800,167600,167400,167200,167100,167100,167200,167400,167800,168300,169000,169700,170400,170900,171200,171500,171600,171700,171800,171900,171800,171600,171300,170900,170600,170400,170400,170600,171000,171600,172300,173000,173800,174500,175300,176000,176700,177600,178600,179800,181000,182300,183700,185200,186800,188700,191000,193500,196200,199200,202500,205800,209000,212100,215100,217900,220600,223400,226600,229700,232800,236000,239000,241800,244000,245800,247200,248200,248700,249000,249200,249100,248600,247800,246600,245200,244000,242700,241600,240600,239400,238200,237000,235600,233600,231400,229100,226900,225000,223400,222000,221200,221600,220900,218600,216500,215500,214100,212700,211400,210100,208300,206300,204500,202800,201400,200100,199100,198400,197900,197300,196500,196300,196600,197000,196600,195600,195000,195500,196200,196700,197000,197500,198300,199200,200200,201600,203300,205000,206700,208600,210600,212400,214400,216600,218300,219400,220600,221800,223200,224800,226300,227300,227800,228300,229200,230300,231500,232800,233900,234800,235300,235800,236700,237800,238900,239800,240700,241800,243400,245000,246400,247900,249600,251400,253300,255500,257200,258400,259900,261700,263500,265400,267500,269600,271500,273300,275400,278000,280500,282700,285400,288000,289800,291400,294200,297700,301400,304800,307300,309900,313700,317800,320900,323700,327700,331600
Nevada,134900,134700,134500,134400,134400,134400,134500,134800,135100,135500,135800,136000,136200,136300,136400,136400,136500,136600,136900,137300,137700,138200,138600,138900,139100,139300,139500,139600,139800,139900,140100,140200,140400,140600,140800,141000,141200,141400,141800,142200,142600,143100,143700,144200,145000,145700,146400,147000,147500,148000,148500,149000,149500,150000,150500,151200,152100,152900,153700,154400,155100,155800,156600,157400,158300,159300,160400,161600,162900,164200,165500,166500,167500,168500,169200,169900,170500,171200,172000,173000,174200,175400,176700,178200,179700,181500,183600,186100,189100,192600,196600,201100,206100,211500,217300,223800,231200,239400,248400,257900,267000,275300,282500,288600,293900,298600,303000,307100,310900,313900,316100,317900,319400,320800,322100,323200,324600,325800,327000,328200,329600,330300,330200,329400,327800,325700,323200,320600,318300,316000,313200,310300,307500,304500,301300,297900,294400,290700,286500,281700,276500,270500,264000,257700,251900,246100,240100,234200,228800,223700,218800,214000,209300,204500,199400,194100,188900,183600,178300,173800,170300,167500,165200,163700,162000,161000,161300,161300,159600,158200,157800,156900,155100,153600,152200,150800,149000,147200,145800,144200,142600,140900,139500,138400,137300,135900,135100,134500,134300,134600,135100,135600,136400,137200,138100,139600,141600,143700,145200,147100,149600,151900,153700,156100,159900,164400,168400,171700,174900,177900,180600,182700,184500,186100,187900,189700,191600,193000,194400,196000,197600,198900,200200,202000,204000,205500,206800,208100,209400,210900,212600,214200,215900,217300,218600,220300,222000,223600,224900,226400,228100,229600,230600,231800,233200,234800,236700,238800,240700,242400,244300,246800,249600,252100,254500,256300,257900,260400,263600,266200,268600,271900,275500,278000,280100,282700,285500,288500,291800,295300,297800
New Mexico,113600,113600,113600,113700,113800,114000,114200,114400,114800,115100,115500,115800,116100,116300,116500,116700,116800,116900,116800,116600,116200,115700,115200,114800,115000,115900,117100,118500,119700,120600,121300,121800,122300,122500,122700,122700,122700,122600,122500,122400,122300,122300,122400,122500,122700,123100,123400,123600,123900,124100,124400,124700,125000,125300,125800,126400,127400,128600,129800,130900,132000,133000,133900,134600,135100,135300,135500,135800,136300,136900,137600,138300,138800,139300,139500,139500,139200,138800,138300,137900,137900,138100,138600,138900,139300,139900,140700,141900,143300,144900,146600,148100,149800,151500,153300,154700,155500,155300,154500,153700,153400,153400,153500,153100,151800,149900,148200,147100,146900,147300,148200,149300,150400,151600,153200,155200,157400,159600,161600,163700,165700,167700,169700,171600,173400,175000,176500,177900,179100,180100,180800,181400,181900,182500,183200,183800,184200,184300,184300,184300,184300,184300,184400,184600,184700,184400,184000,183500,182800,182100,181500,181000,180500,180000,179600,179200,178800,178100,177400,176800,176200,175700,175400,175400,175400,175400,175500,175200,174600,173900,173500,172800,172300,171500,170200,169000,168000,167200,165900,164400,163100,162200,161400,160800,160100,159200,158500,157900,157200,156700,156000,155400,155300,155500,155500,155100,154700,154500,154500,154400,154200,154100,154200,154300,154300,154200,154200,154300,154600,155100,155300,155100,154900,155200,155900,156700,156900,156700,156700,156700,156700,156900,157000,157400,157900,158200,158400,158900,159500,160100,160900,162100,163000,163500,164100,164500,164700,164500,164700,165300,166100,166600,167200,167700,168000,168500,169400,170600,171500,172200,173000,173600,174000,174200,174100,174500,175300,175900,176600,178100,179900,181300,181900,182000,183200,185600,187400,188200,189500,190800,191800
West Virginia,48600,48800,48900,49100,49200,49300,49400,49500,49700,49800,49900,50000,50200,50200,50300,50400,50500,50600,50800,51200,51700,52300,52900,53500,54000,54300,54600,54800,55000,55200,55300,55500,55700,55900,56200,56400,56600,56800,57000,57100,57200,57400,57400,57500,57500,57500,57600,57700,57800,57900,58100,58200,58400,58700,59100,59500,59900,60200,60500,60800,60900,61100,61100,61100,61000,61000,61100,61100,61200,61200,61200,61300,61400,61500,61600,61900,62300,63000,63800,64700,65600,66400,67200,68000,68800,69600,70200,70600,70600,70300,69800,69100,68600,68300,68400,68800,69300,70000,71000,72000,73000,73900,74800,75900,77200,78300,79100,79300,79200,79000,78900,79100,79600,80100,80500,80800,81000,81100,81200,81200,81400,81600,81900,82200,82600,83200,83700,84000,84000,83900,83800,83900,84100,84500,84800,84900,84700,84400,84100,83800,83700,83700,83600,83600,83400,83100,82800,82400,82100,81900,81700,81600,81600,81600,81600,81500,81400,81300,81000,80700,80500,80400,80200,80200,80100,80100,80100,80200,80100,80000,80000,79900,79900,80000,80100,80200,80100,80000,79900,79600,79500,79700,79800,79600,79600,79600,79400,79200,79000,78800,78700,78900,79100,79100,79300,79400,79500,79600,79800,80000,80300,80700,80700,80800,80900,81100,81500,81900,82000,82000,82100,82200,82500,82600,82500,82500,82700,82900,83000,83100,83300,83600,83700,83800,84200,84600,85100,85500,85700,85800,86100,86700,87300,87600,87900,88200,88400,88400,88300,88500,88800,88900,89100,89300,89400,89700,90000,90300,90100,90700,91700,92400,92500,92900,92700,92000,91700,91700,91800,91900,92100,92400,93000,93700,94200,94400,94600,95000,95800,96400,96700
Nebraska,73700,74500,75400,76300,77200,78000,78600,79100,79500,79800,80000,80100,80100,79900,79600,79500,79300,79300,79300,79400,79600,79900,80100,80300,80500,80700,80900,81100,81400,81700,82000,82500,83200,84200,85700,87800,90600,93700,96800,99500,101500,102800,103700,104400,105100,106000,106900,107700,108400,108900,109300,109400,109700,109900,110000,109900,109100,107700,105400,102500,99200,96500,94400,93100,92400,92300,92500,92800,93200,93700,94300,94700,95100,95400,95600,95700,95900,96100,96400,96700,97000,97200,97500,97900,98400,99000,99700,100500,101300,102100,102900,103700,104300,105000,105700,106600,107600,108700,109700,110500,111100,111400,111600,111900,112500,113400,114400,115300,116000,116300,116300,116300,116300,116400,116600,116900,117400,118000,118500,119100,119500,119900,120200,120400,120600,120800,121000,121100,121100,121000,121000,121000,121000,121100,121100,121100,121100,121000,121000,120800,120600,120300,119900,119500,119100,118800,118600,118500,118400,118300,118300,118300,118300,118400,118400,118400,118400,118400,118400,118300,118300,118300,118400,118600,118700,118800,118900,119100,119200,119400,119500,119500,119400,119100,118700,118200,117800,117500,117400,117300,117500,117500,117100,116900,116800,116800,116800,116800,116800,116800,116800,116900,117000,117200,117500,117900,118300,118800,119200,119600,120000,120300,120500,120800,121000,121200,121600,121900,122300,122700,123000,123200,123500,124000,124300,124400,124500,124600,124800,125400,125900,126200,126500,127200,127900,128300,128800,129600,130400,131000,131700,132400,132800,133200,133700,134200,134700,135200,135900,136500,137100,137800,138300,138500,138900,139600,140400,141200,142100,142900,143500,144100,145000,146100,147000,147700,148400,149200,150100,151100,151900,152800,154100,155100,155900,156900,157800,158900,160200,161200,161900
Idaho,100400,100300,100300,100200,100100,100100,100100,100200,100600,101400,102600,104400,106500,108600,110700,112500,114000,115200,116000,116500,116800,116900,116900,116700,116600,116700,116900,117200,117500,118000,118500,118900,119300,119700,119900,120000,119900,119700,119500,119300,119200,119200,119300,119500,119800,120200,120600,120900,121300,121700,122100,122600,123100,123500,124000,124600,125200,125800,126300,126700,126800,126600,126300,125700,125100,124600,124200,124100,124200,124300,124500,124700,124900,125200,125400,125700,126100,126400,126800,127100,127500,127900,128200,128600,129000,129500,130100,130600,131100,131500,131900,132100,132300,132600,133000,133600,134500,135500,136600,137700,138800,139600,140500,141400,142500,143700,144900,146100,147200,148400,149800,151600,153900,156800,160100,163400,166400,169100,171400,173900,176600,179200,181600,183700,185400,186700,187500,188100,188600,189000,189100,189400,190000,190300,190400,190500,190600,190700,190800,191000,191500,191700,191500,191300,191100,190500,189500,188100,186500,184800,183200,181600,180300,179000,177600,176400,175300,173900,172200,170600,169200,168000,166800,166000,164900,164100,164700,164100,161500,159300,158400,157300,156200,155000,153900,152400,150700,149400,148000,146200,145000,144500,143600,143100,142800,142600,142200,142200,141900,141400,141000,141100,141500,142200,143000,143800,144500,145300,146300,147400,148400,149000,149500,150400,151800,153100,154800,156500,158000,159200,160400,161400,162800,164200,165200,166200,167500,168400,168800,169000,169400,169900,170300,170800,171700,172800,173700,174400,175600,176600,177300,178100,179000,179500,180300,181500,182900,184300,185800,187100,188600,189800,190800,192000,193200,194300,195400,196600,198200,199900,201600,203700,205600,207300,208800,210300,212000,214100,215900,217900,219400,221100,223600,226000,228100,231000,234100,237000,239700,243200,246700
Hawaii,246900,244600,242200,239800,237600,235600,233900,232500,231600,231000,230600,230200,229900,229800,229800,229800,229700,229600,229400,229100,228800,228600,228500,228500,228900,229500,230500,231600,232700,233600,234500,235300,236100,236900,237400,237600,237700,237600,237300,236900,236600,236500,236600,237100,238000,239200,240400,241700,243000,244400,245700,246900,248100,249200,250400,251600,253000,254400,255800,257000,258200,259300,260500,261600,262800,264100,265500,267000,268700,270500,272600,274600,276700,279000,281600,284400,287500,290900,294700,298900,303200,307600,312000,316400,320700,325100,329800,335200,341500,348400,355900,363400,370800,378200,385800,394000,402900,412300,422200,432200,441900,451100,460100,469000,478100,487200,496500,506500,517500,528900,540400,551300,561100,569700,577200,584000,590500,596400,601400,605500,608700,610800,612300,613200,613400,613300,612900,612000,611300,610600,609700,608500,607300,606100,605100,604200,603300,602500,601800,600800,599600,597900,595400,592200,588000,582800,577200,571200,565200,559600,554100,548500,543000,537600,532400,527200,521900,516300,511400,508200,506000,504600,503700,503200,502000,501100,501200,503000,505000,506800,507800,508300,507800,506700,505800,504700,502700,500200,498200,495400,493000,492200,491600,490000,488800,487100,485300,485400,486900,489100,492000,495000,496800,498000,499300,501800,504700,507300,509500,511400,514200,517800,521600,525200,529500,533800,538700,542400,545800,551000,556700,560300,563800,567500,569600,571700,575100,578300,580900,584100,587800,591200,594200,597400,600900,603200,604800,606000,608000,609800,611400,613200,616500,619400,622200,625200,627700,630800,635300,640000,643500,646800,650400,654400,657600,660600,664100,669200,673900,676300,677200,678700,680900,683400,685700,687500,689100,691100,693800,696500,700400,706100,712000,715400,718500,722400,726400,729900,732300,733700,734500
